한글,영어,일어
수은(I)법적정,mercurometry, 水銀(I)滴定
"염화제일수은, 염화 수은(I)",mercurous chloride,
"수은(I) 화합물, 제1수은 화합물",mercurous compounds,
산화제일수은,mercurous oxide,
수은,mercury, 水 銀
수은구,mercury bulb, 水銀球
수은전지,mercury cell,
수은 막 전극,mercury film electrode,
펄민산 수은,mercury fulminate, 雷コウ
수은못,mercury pool, 水銀池
고인 수은 전극,mercury pool electrode,
수은 동공 분포 측정기,mercury porosimeter,
수은저장기,mercury reservoir, 水銀だめ
염화 수은(I),mercury(I) chloride,
염화 수은(II),mercury(II) chloride,
산화 수은(II),mercury(II) oxide,
자오선 이성질체,meridional isomer,
부분 이배체,merodiploid,
메쉬,mesh, メッシユ
산화 메시틸,mesityl oxide, メシチルオキシド
메시틸렌,mesitylene, メシチレン
메소,meso,
메소 분석,meso analysis,
메소 형,meso form, メソ形
메조자리,meso position, メソ位
메소형,meso-form,
메소 이온성 화합물,mesoionic compound, メソイオン化合物
메조메릭효과,mesomeric effect, メソメリ－ 果
메조메리 (현상),mesomerism, メソメリズム
준결정 상태,mesomorphic state,
중간자,meson,
준결정상,mesophase, (1)中間相  (2)メソフェ－ズ
잎살 세포,mesophyll cell,
메속살산,mesoxalic acid, メソシュウ酸
전령 (RNA),messenger,
메실화 (반응),mesylation, メシル化
메타 산,meta acid,
메타자리,meta position, メタ位
메타-안트라사이트,meta-anthracite, メタ無煙炭
대사 균형,metabolic balance,
대사병,metabolic disease, 代謝病
대사 혼란,metabolic disorder,
대사성질소,metabolic nitrogen, 代謝性窒素
대사경로,metabolic pathway, 代謝經路
"대사 풀, 대사물 집합소",metabolic pool, 代謝プ－ル
대사 전환,metabolic turnover, 代謝回轉
대사,metabolism, 物質交代(代 謝)
대사 물질,metabolite, 代謝生成物
메타붕산,metaboric acid, メタホウ酸
메타-붕산,meta-boric acid,
금속,metal, 金 屬
금속중탕,metal bath, 金屬浴
카보닐 금속,metal carbonyl, 金屬カルボニル
금속 카르보닐착물,metal carbonyl complex,
금속 뭉치 화합물,metal cluster compound,
금속불활성제,metal deactivator, 金屬不活性化劑
금속분포비,metal distribution ratio, 金屬分布比
금속지시약,metal indicator, 金屬指示藥
금속결합 손가락,metal-binding finger,
"금속 다리 복합체, 금속 다리 착물",metal-bridge complex,
메타알데하이드,metaldehyde, メタアルデヒド
금속-이온 전극,metal-ion electrode,
금속 함유 고리 (화합물),metallacycle,
금속화 반응,metallation reaction,
금속결합,metallic bond, 金屬結合
금속 피복,metallic coating, 金屬被覆
금속성 전도체,metallic conductor,
금속 결정,metallic crystal,
금속광택,metallic luster, 金屬光澤
금속결합 반지름,metallic radius,
금속나트륨,metallic sodium, 金屬ナトリウム
금속-리간드 결합,metal-ligand bonding,
금속입힘,metallization,
메탈로센,metallocene, メタロセン
금속 함유 효소,metalloenzyme, 金屬酵素
금속조직학,metallography, 金屬組織學
준금속,metalloid, メタロイド
금속단백질,metalloprotein, 金屬タンパク質
금속열 반응,metallothermic reaction,
야금학,metallurgy, (1)治 金  (2)製鍊
금속도금보조약,metal-plating assistant, めっぎ肋劑
금속원소,metals,
금속-금속 결합,metal-to-metal bonding,
메타닐산,metanilic acid, メタニル酸
메타인산 염,metaphosphate, メタリン酸鹽
메타인산,metaphosphoric acid, メタリン酸
메타규산 염,metasilicate, メタケイ酸鹽
준안정,metastable, 準安定--形
준안정 분해,metastable decomposition,
준안정 평형,metastable equilibrium,
준안정 봉우리,metastable peak,
준안정상,metastable phase,
준안정화학종,metastable species,
준안정상태,metastable state, 準安定狀態
메타주석산,metastannic acid, メタスズ酸
상호교환 (반응),metathesis, メタセシス
상호교환 반응,metathetical reaction,
여기,meteoric iron, いん鐵
메타크릴산,methacrylic acid, メタクリル酸
메타크릴 수지,methacrylic resin, メタクリル樹脂
메타크릴로나이트릴,methacrylonitrile, メタクリロニトリル
메탄알,methanal,
메탄화 (반응),methanation, メタン化
메테인,methane, メタン
메탄산에스테르,methanoate,
메테인 생성 (반응),methanogenesis,
메탄산,methanoic acid,
메탄올,methanol, メタノ－ル
메탄올분해,methanolysis, メタノリシス
메싸이오닌,methionine, メチオニン
연속 변화법,method of continuous variations,
부등식법,method of inequality,
최대 경사법,method of steepest descent,
방법 오차,methodic error,
메톡사이드,methoxide, メトキシド
메톡시기,methoxy group,
메톡시카르보닐화 (반응),methoxycarbonylation,
메톡실기,methoxyl group, メトキシル基
메틸주황,Methy Orange, メチルオレンジ
아세트산 메틸,methyl acetate, 酢酸メチル
아크릴산 메틸,methyl acrylate, アクリル酸メチル
메틸 알코올,methyl alcohol, メチルアルコ－ル
메틸벤젠,methyl benzene,
브롬화메틸,methyl bromide,
염화 메틸,methyl chloride, 鹽化メチル
에탄산메틸,methyl ethanoate,
메틸에틸케톤,methyl ethyl ketone,
메틸초록,Methyl Green, メチルグリ－ン
메틸기,methyl group, メチル基
아이오딘화 메틸,methyl iodide, ヨウ化メチル
메타크릴산 메틸,methyl methacrylate, メタクリル酸メチル
메틸 주황,methyl orange,
메틸오렌지,methyl organge,
살리실산 메틸,methyl salicylate, サリチル酸メチル
메틸 바이닐 에터,methyl vinyl ether, メチルビニルエ－テル
메틸 바이닐 케톤,methyl vinyl ketone, メチルビニルケトン
메틸 보라,methyl violet,
메틸 노랑,methyl yellow,
메틸알,methylal, メチラ－ル
메틸레이트,methylate, メチラ－ト
메틸화,methylation, メチル化
메틸벤전,methylbenzene,
메틸렌,methylene,
메틸렌파랑,Methylene Blue, メチレンブル-
메틸렌기,methylene group,
메틸(기) 전달효소,methyltransferase,
미터,metre,
미터단위계,metric system,
미터 톤,metric ton,
메발론산,mevalonic acid, メバロン酸
모,mho,
운모,mica, 雲母
운모(형) 구조,mica structure,
미셀비등방성반응,micell anisotropic reaction, ミセル不均一反應
미셀콜로이드,micell colloid, ミセルコロイド
미셀형성,micell formation, ミセル形成
미하엘리스상수,Michaelis constant, ミカエリス定數
미하엘리스-멘텐 식,Michaelis-Menten equation, ミカエリス·メンテンの式
미힐러상수,Michler's ketone, ミヒラ－ケトン
미량 분석,micro analysis,
미량 저울,micro balance,
미량 뷰렛,micro buret,
미량저울,microbalance, 微量てんびん / 微量はかり
미생물살충제,microbial insecticide, 微生物殺蟲劑
미생물검정,microbiological assay, 微生物定員
미소체,microbody,
미량뷰렛,microburet, ミクロビュレット
소정준 앙상블,microcanonical ensemble,
마이크로캡슐,microcapsule, マイクロカプセル
미량화학,microchemistry, 微量化學
미소결정,microcrystal, 微結晶
미결정화왁스,microcrystalline wax, ミクロ〔クリスタリン]ワックス
미소결정도,microcrystallinity, 微小結晶度
미소 전극,microelectrode,
"미세 에멀젼, 미세 유제",microemulsion,
미세 환경,microenvironment, ミクロ環境
미세 화석,microfossil,
미세불균일성,microheterogeneity, 微不均一性
미량 주입,microinjection,
마이크로미터,micrometer,
미생물,microorganism, 微生物
미량 광도계,microphotometer,
미세 극성(도),micropolarity,
작은구멍,micropore, (1)ミクロ紬孔【觸】  (2)徵祝孔【表面技術】
미세 다공성 필름,microporous film,
미세다공성고무,microporous rubber, 徵孔性ゴム
미량 방사선 사진,microradiography,
현미경,microscope, 顯微鏡
미시적,microscopic, 微視的-----形
"현미경분석, 미시분석",microscopic analysis, 顯微鏡分析
미시적 가역성,microscopic reversibility,
현미경시험,microscopic test, 顯微鏡試驗
미시적 상태,microstate,
미세구조,microstructure, (1)微細構造  (2)ミクロ構造  (3)微構造【窯】
미세 점성(도),microviscosity,
"마이크로파 분광법, 마이크로파 분광학",microwave spectroscopy, マイクロ波 / マイクロ波分光[學〕
마이크로파 스펙트럼,microwave spectrum,
마이크로파,microwaves,
중간 적외선,mid infrared,
중간기름,middle oil, 中 油【タ－ル】
이동 원자단,migrating group,
이동,migration, 移行
이동 전류,migration current, 泳動電流
이동 원점,migration origin,
이동 전위,migration potential,
이동 종점,migration terminus,
이동 용이도,migratory aptitude, 轉位傾向
이동 삽입,migratory insertion,
석회유,milk of lime, 石灰乳
젖당,milk sugar, 乳 糖
"밀, 분쇄기",mill,
밀리,milli,
밀리미터수은주,millimeter of mercury,
밀리몰,millimole,
밀링,milling, (1)製 粉  (2)摩 碎  (3)縮 充【染】
소동공,millipore,
소동공거르개,millipore filter, ミリポアフィルタ－
밀롱(의) 반응,Millon's reaction,
광물화학,mineral chemistry, 鑛物化學
광물질섬유,mineral fiber, 鑛物纖維
광유,mineral oil, 鑛 油
무기질화,mineralization, 無機質化
무기질화제,mineralizer, 鑛化劑
광물 효과,mineralogical effect,
무기질,minerals,無機質【食品】
소형 용기,minicell,
소격자 전극,minigrid electrode,
최소치사량,minimum lethal dose,最小致死量
소수 운반체,minority carrier,
거울 상,mirror image,
거울상이성질체,mirror image isomer, 鏡像〔異性]體
거울면,mirror plane, 鏡[映〕面
거울 반응,mirror reaction,
거울 대칭,mirror symmetry,
특수도,miscellaneous chart,
미시메탈,Misch metal,
"섞임성, 섞임도",miscibility, 混和性
섞이는 액체,miscible liquid,
오인 코돈,missense codon,
오인 돌연변이,missense mutation,
진드기약,miticide, 殺だに劑
사립체,mitochondria, ミトコンドリア
간접핵분열,mitosis, 有絲分裂
혼방,mix spinning, 混 紡
혼합산,mixed acid, 混 酸
혼성 산무수물,mixed anhydride, 混成無水物
혼합촉매,mixed catalyst, 混合觸媒
혼합시멘트,mixed cement, 混合セメント
혼성결정,mixed crystal, 混 晶
"혼성전극전위, 혼성전극포텐셜)",mixed electrode potential, 混成電極電位
혼성 에테르,mixed ether, 混成エ－テル
혼합기체,mixed gas, (1)混合ガス  (2)混成ガス
혼성 (리간드) 착물,mixed ligand complex, 混合配位子錯體
혼융점,mixed melting point, 混融點
혼합조,mixed tide,
혼성원자가,mixed valence, 混合原子價
혼윰시험,mixed-melting-point test, 混融試驗
"섞개, 혼합기",mixer, ミキサ－
"혼합, 섞음",mixing, 混 合
혼합 엔탈피,mixing enthalpy,
혼성엔트로피,mixing entropy, 混合エントロピ－
혼합 Gibbs 에너지,mixing Gibbs energy,
혼합밀,mixing mill, 練りロ－ル機【ゴム】
혼합 부피,mixing volume,
분자궤도함수,MO,
이동 유전요소,mobile genetic element,
이동도,mobility, 移勤度
성분 잠금법,mode locking,
"모델, 모형",model, (1)模 型  (2)モデル
모형 화합물,model compound,
모형뜸씨,model enzyme, 模型酵素
모형화,modelling,
감속제,moderator, 減速材
"변형, 변태",modification, (1)變 態  (2)修 節【生化學】
변성 전극,modified electrode,
변성수지,modified resin, 變性樹脂
개질고무,modified rubber, 改質ゴム
변성녹말,modified starch, 化工デンプン
변성목제,modified wood, 變性木材
변조 들뜸,modulated excitation,
변조,modulation, 變 調
변조 전달 함수,modulation-transfer function,
"조절인자, 조절자",modulator,
"계수, 모듈러스, 율",modulus, モジュラス
파괴계수,modulus of rupture, 破壞係數
모스 경도,Mohs' hardness, モ－ス硬さ
부분,moiety,
수분,moisture, 水 分
수분흡수,moisture absorption, 吸 濕
수분함량,moisture content, 含水量
수분투과성,moisture permeability, 透濕性
몰랄 내림,molal depression,
몰랄 오름,molal elevation,
몰흡수계수,molar absorption coefficient, モル吸收係數
몰량,molar amount,
몰전도도,molar conductivity, モル傳導率
몰랄내림상수,molar depression constant,
몰랄어는점내림상수,molar depression of freezing point, モル凝固点降下
몰랄끓는점오름,molar elevation of boiling point, モル沸點上昇
몰 엔트로피,molar entropy,
몰 비열,molar heat,
몰 열용량,molar heat capacity,
몰 증발열,molar heat of evaporation,
몰 융해열,molar heat of fusion,
몰 액화열,molar heat of liquefaction,
몰 응고열,molar heat of solidification,
몰 질량,molar mass, モル質量
몰 편극,molar polarization, モル分極
몰 굴절,molar refraction, モル屈折
몰 광회전,molar rotation, モル旋光度
몰 부피,molar volume, モル體積
틀,mold,
틀공동,mold cavity, (1)型 穴【樹脂】 (2)巢【鑄造】 (3)キャビティ【ゴム】
틀흐름,mold flow, 型流れ【ゴム】
틀수축,mold shrinkage, 成形收縮
성형성,moldability, 成形性【ゴム】
성형특성,molding characteristic, 成形特性
성형플라스틱,molding plaster, 型用プラスタ-
성형분,molding powder, 成形粉
성형압축기,molding press, 成形プレス
성형물,moldings, 成形物
몰 분율,mole fraction, モル分率
몰백분율,mole percentage, モル百分率
몰비법,mole ratio method,
분자 모임(체),molecular assembly,
분자 회합,molecular association,
분자축,molecular axis,
분자살,molecular beam, 交差分子線
분자살법,molecular beam method,
분자 생물학,molecular biology, 分子生物學
분자송이,molecular cluster, 分子フラスタ-
분자 착물,molecular complex,
분자화합물,molecular compound, 分子〔間]化合物
분자 결정,molecular crystal, 分子〔性]結晶
분자확산,molecular diffusion, 分子擴散
분자 병,molecular disease,
분자 증류,molecular distillation, 分子蒸留
분자 동력학,molecular dynamics, 分子動力學
분자 진화,molecular evolution, 分子進化
분자흐름,molecular flow, 分子流
분자력장,molecular force field, 分子力場
분자식,molecular formula, 分子式
분자유전학,molecular genetics, 分子遺傳學
분자 이온,molecular ion, 分子イオン
분자 누출구,molecular leak,
분자 질량,molecular mass,
분자 역학,molecular mechanics,
분자 궤도함수,molecular orbital,
분자 궤도함수 이론,molecular orbital theory,
분자배향,molecular orientation, 分子配向
분자 분배 함수,molecular partition function,
분자 퍼텐셜 에너지 곡선,molecular potential energy curve,
분자 반응 동력학,molecular reaction dynamics,
"몰 광회전도, 분자 회전",molecular rotation,
분자 산란,molecular scattering,
분자모양선택성,molecular shape selectivity, 〔分子〕形狀選擇性
분자 체,molecular sieve, (1)モレキュラ－シ－ブ  (2)分子ふるい
분자 용해도,molecular solubility,
"분자 분광법, 분자 분광학",molecular spectroscopy, 方子分光學
분자스펙트럼,molecular spectrum,
분자구조,molecular structure, 分子構造
분자 속도,molecular velocity,
분자량,molecular weight, 分子量
분획 분자량,molecular weight cut-off,
분자량분포,molecular weight distribution, 分子量分布
"분자도, 분자성",molecularity, 反應分子數
분자,molecule, 分 子
분자 산화물,moloxide,
"용융광재, 용융슬랙",molten slag, 融解スラグ
몰리브데넘산 염,molybdate,
몰리브데늄산염주황,molybdate orange, モリブデン赤
몰리브덴 파랑,molybdenium blue,
몰리브데넘,molybdenum, モリブデン
삼산화 몰리브데넘,molybdenum trioxide, 三駿化モリブデン
몰리브데넘산,molybdic acid, モリブデン殿
몰리브도인산,molybdophosphoric acid, モリブドリン酸
모멘트,moment,
관성 모멘트,moment of inertia, 慣性モ-メント
운동량,momentum, 運動量
운동량 분석 (관기),momentum analyzer,
일원자 분자,monatomic molecule,
모니터,monitor,
일가 염기,monoacid base, 一酸鹽基
단원자,monoatomic,
단원자분자,monoatomic molecule, 單原子分子
일가 산,monobasic acid, 一鹽基酸
모노클로로벤젠,monochlorobenzene,
모노클로로에틸렌,monochloroethylene,
"단색 파장의, 단색의",monochromatic,
단색화 장치,monochromator, モノクロメ－タ－
단일 시스트론성,monocistronic,
단사결정,monoclinic crystal,
단사 결정계,monoclinic crystal system,
"단사 (결정)계, 일사축 결정계",monoclinic system, 單斜晶系
단일클론 항체,monoclonal antibody,
단고리 화합물,monocyclic compound, 單環式化合物
한자리리간드,monodentate ligand, 單座配位子
단순 분산,monodisperse, 單分散－---形
"홑올, 단섬유",monofilament, モノフィラメント
단일 작용기 화합물,monofunctional compound, 單官能化合物
모노글리세리드,monoglyceride, モノグリセリド
일가 알코올,monohydric alcohol, 一價アルコ－ル
"단 층, 단분자 층",monolayer, (1)單 層  (2)單分子層   (3)單分子膜
단위체,monomer, 單量體(モノマ－)
단위체반응성비,monomer reactivity ratio, 單量體反應性比
단위체단위,monomeric unit, 單量體單位
단분자 층,monomolecular layer,
단분자반응,monomolecular reaction,
단핵 착물,mononuclear complex, 單核錯體
모노뉴클레오티드,mononucleotide, モノヌクレオチド
일산소화 효소,monooxygenase,
단당류,monosaccharide, 單 糖
모노터펜,monoterpene, モノテルペン
외쪽 바뀜 (현상),monotropy, モノトロピ-
일가의,monovalent, 一價 ----形
일산화물,monoxide, 一酸化物
몬탄 왁스,montan wax, モンタンろう
몬모리나이트,montmorillonite, モンモリロン石
매염제,mordant, 媒染劑
매염 물감,mordant dye, 媒染染料
매염,mordanting, 媒 染
황산 모핀,morphine sulfate, モルヒネ硫酸鹽
모스함수,Morse function, モ－ス關數
"막자 사발, 약절구",mortar, (1)乳 鉢  (2)モルタル
모자익 구조,mosaic structure,
가장잦은,most probable,
가장 잦은 속력,most probable speed,
가장 잦은 속도,most probable velocity,
모액,mother liquor, 母 液
운동도 분석법,motility assay,
자동차 윤활유,motor oil, モ－タ－油
"틀, 성형",mould,
"고정, 설치법",mounting,
이동계면 전기이동,moving boundary electrophoresis,
이동계면법,moving boundary method,
다광자이온화,MPI,
뮤메탈,Mu metal,
점액 다당류,mucopolysaccharide, ムコ多糖
점액 단백질,mucoprotein,
반죽 스펙트럼,mull spectrum,
멀라이트,mullite, (1)ムル石【鑛物】 (2)ムライト【窯】
멀라이트자기,mullite porcelain, ムライト磁器
다중심,multi-center,
다중심 결합,multicenter bond,
다중심 궤도함수,multicenter orbital,
다중심 반응,multicenter reaction,
여러통로 분석기,multichannel analyzer,
다색,multicolor, 多彩〔仕上げ〕【塗】
다색염색,multicolor dyeing, (1)異色染め  (2)多色染め
다성분촉매,multicomponent catalyst, 多成分觸媒
다중판 화합물,multidecker compound,
다원소 등,multielement lamp,
다중 효소,multienzyme,
다중 효소계,multienzyme system, 複合酵素系
다기능화합물,multifunctional compound, 多官能化合物
다기능 효소,multifunctional enzyme,
다기능단백질,multifunctional protein, 多機能〔性〕タンパク質
다유전자 군,multigene family,
다분자층,multilayer, (1)多分子層  (2)多分子膜  (3)多 層
다분자 층 흡착,multilayer adsorption,
다중층막,multilayer film, 多光フィルム
다경로 반응,multipath reaction,
다광자 흡수,multi-photon absorption,
다광자들뜨기,multiphoton excitation, 多光子勵起
다광자 이온화,multiphoton ionization,
다광자과정,multiphoton process, 多光子過程
여러가지 결합,multiple binding,
다중결합,multiple bond, 多重結合
다중 전개,multiple development,
되풀이 침전,multiple precipitation,
다중 펄스,multiple pulse,
다중 반사,multiple reflection,
다중 회귀법,multiple regression method,
다중효용증발기,multiple-effect evaporator, 多重 用がき
"다중선, 다중항 (상태)",multiplet, (1)多重線  (2)多重項
다중항이론,multiplet theory, マルチプレット說【觸】
곱셈표,multiplication table,
"다중도, 중복도",multiplicity, 多重度
다점흡착,multipoint adsorption, 多點吸着
다중극자,multipole, 多極子
다중극자모멘트,multipole moment, 多極[子〕モ－メント
여러자리 효소,multisited enzyme,
다단계 증류,multistage distillation,
다단계 반응,multistep reaction,
다가 방해,multivalent inhibition,
다변수계,multivariant system,
뮤람산,muramic acid, ムラミン酸
뮤렉사이드,murexide, ムレキシド
백운모,muscovite, 白雲母
돌연변이 유발원,mutagen,
돌연변이 작용,mutagenic action,
"돌연변이체, 변종, 변이군",mutant, 突然變異體
변광회전 (현상),mutarotation, 變旋光
돌연변이,mutation, 突然變異
상호인덕턴스,mutual inductance, 相互イダクタンス
상호용해도,mutual solubility, 相互溶解度
균사체,mycelium, 菌絲體
미콜린산<<명m법>>,mycolic acid, ミコ－ル酸
마일라 창,mylar window,
미오글로빈,myoglobin, ミオグロビン
미리스트산,myristic acid, ミリスチン酸
나노 흔적,nano trace,
나프타,naphtha, ナフサ
나프타센,naphthacene, ナフタセン
나프탈렌,naphthalene, (1)ナフタレン  (2)ナフタリン【工業製品】
나프탈렌기름,naphthalene oil,ナフタリン油【工業製品】
나프텐,naphthene,ナフテン
나프텐 탄화수소,naphthene hydrocarbon, ナフテン族炭化水素
나프텐기원유,naphthene-base crude oil, ナフテン基原油
나프텐산,naphthenic acid, ナフテン酸
나프싸이온산,naphthionic acid, ナフチオン酸
나프토산,naphthoic acid, ナフトエ酸
나프톨,naphthol, ナフト－ル
나프톨염료,naphthol dye, ナフト－ル染料
나프토올류,naphthols,
나프토퀴논,naphthoquinone, ナフトキノン
나프틸아민,naphthylamine, ナフチルアミン
아가리좁은 병,narrow-mouthed bottle, 細口甁
발생기의 수소,nascent hydrogen,
자연 형태,native conformation,
고유 결함,native defect,
자연존재비,natural abundance, 自然存在比
자연노화,natural aging, 自然老化【ゴム】
천연아스팔트,natural asphalt, 天然アスファルト
천연시멘트,natural cement, 天然セメント
천연염료,natural dye, 天然染料
자연전극전위,natural electrode potential, 自然電極電位
천연섬유,natural fiber, 天然纖維
천연 가스,natural gas, 天然ガス
천연가솔린,natural gasoline, 天然ガソリン
자연 이전자 궤도함수,natural geminal,
자연 이전자 궤도함수 에너지,natural geminal energy,
천연흑연,natural graphite, 天然黑鉛
천연석고,natural gypsum, 天然セッコウ
자연수명,natural lifetime, 自然壽命
천연물,natural product, 天然物
자연 방사능,natural radioactivity,
천연고무,natural rubber, 天然ゴム
천연소-다,natural soda, 天然ソ－ダ
해도,nautical chart,
N-브로모석신이미드,N-bromosuccinimide, N-ブロモスクシンイミド
최인접물 빈도,nearest neighbor frequency,
근자외선,near-ultraviolet,
순시멘트,neat cement, ニ一トセメント
순액체,neat liquid,
순비누,neat soap, ニ一トソ－フプ
순물질 스펙트럼,neat spectrum,
"분무 장치, 분무기",nebulizer, ネブライザ-【分光】
침상결정,needle crystals, 針狀結晶
바늘 발브,needle valve,
"음의, 음성의",negative, (1)負---形  (2)陰性－－形
음흡착,negative adsorption,
역촉매,negative catalyst,
부의 협동작용,negative cooperativity, 負の協同作用
음의 편차,negative deviation,
음성 원소,negative element,
음의 오차,negative error,
음성 방해,negative interference,
음 바탕질,negative matrix, 負 型【電鑄】
음성극대,negative maximum, 陰性極大
음성 결과,negative result,
"음전자, 인접기",negatron,
인접기 효과,neighboring group effect,
인접기관여,neighboring group participation, 隣接基關與
네마틱,nematic,
"실 액정, 네마틱상 액체 결정",nematic liquid crystal, ネマチック液晶
네오디뮴,neodymium, ネオジム
네오마이신,neomycin, ネオマイシン
네온,neon, ネオン
네오펜테인,neopentane, ネオペンタン
신생세포,neoplasm, 新生細胞
네오프렌,neoprene,
전자구름 퍼짐 효과,nephelauxetic effect,
전자구름 퍼짐비,nephelauxetic ratio,
전자구름 퍼짐 계열,nephelauxetic series, 電子雲膨張系列
"네펠로 측정계, 네펠로 측정기",nephelometer, 比濁計
네펠로법,nephelometry, ネフェロ分析
넵투늄,neptunium, ネプツニウム
넵투늄 계열,neptunium series,
네른스트식,Nernst equation, ネルンスト式
네른스트 광원,Nernst glower,
신경 충동,nerve impulse,
실효과,net effect,
알짜 이온 반응식,net ion equation,
그물면,net plane,
알짜 머무름,net retention,
알짜 머무름 시간,net retention time,
알짜 머무름 부피,net retention volume,
"순무게, 실효 무게, 알짜 무게",net weight,
알짜일,net work,
"회로망, 네트워크, 그물조직",network, 網 目
그물구조,network structure,
그물형성성분,network-former, 網目形成成分【ガラス】
그물수식성분,network-modifier, 網目修飾成分【ガラス】
신경 네트워크,neural network,
뉴라민산,neuraminic acid, ノイラミン酸
뉴런,neuron, ニュ－ロン【腦】
신경분비,neurosecretion, 神經分泌
신경전달 물질,neurotransmitter, 神經傳達物質
신경-전달물질,neuro-transmitter,
중성분위기,neutral atmosphere, 中性零圍氣
"중성 유지, 중성 지방",neutral fat,
중성여과,neutral filter, 中性フィルタ－【分光】
중성선,neutral line, 可性線【分光】
중성기름,neutral oil, ニュ－トラルオイル【石油】
중성재생법,neutral reclaiming process, 中性再生法【ゴム】
중성내화물,neutral refractory, 中性耐火物
중성 염,neutral salt,
중성 아황산 펄프,neutral sulfite pulp, 中性亞硫酸パルプ
중화,neutralization, 中和
중화 곡선,neutralization curve,
중화 적정,neutralization titration,
중화값,neutralization value, 中和價
중성 미자,neutrino,
중성자,neutron, 中性子
중성자 방사화 분석,neutron activation analysis,
중성자 결핍,neutron deficiency,
중성자 회절,neutron diffraction, 中性子回折
중성자 방출,neutron emission,
중성자 선속,neutron flux,
"중성자 감속제, 중성자 감속체",neutron moderator,
중성자수,neutron number,
"중성자 공명 포착, 중성자 공명 포획",neutron resonance capture,
"중성자 유발 반응, 중성자 유도 반응",neutron-induced reaction,
중성자 양성자비,neutron-proton ratio,
뉴랜즈의 법칙,Newlands' law,
뉴턴 흐름,Newtonian flow, ニュ－トン流動
n겹 대칭축,n-fold axis of symmetry,
니아신,niacin,
적소,niche,
니크롬,Nichrome, ニクロム
새김눈,nick,
절단 수선 복제,nick translation,
니켈,nickel,ニッケル
카보닐 니켈,nickel carbonyl, ニッケルカルボニル
염화 니켈(II),nickel(II) chloride, 鹽化ニッケル(Ⅱ)
황산 니켈(II),nickel(II) sulfate, 硫酸ニッケル(Ⅱ)
니켈-카드뮴 축전지,nickel-cadmium accumulator,
제2니켈 화합물,nickelic compound,
니켈-철축전지,nickel-iron accumulator,
제1니켈 화합물,nickelous compound,
니코틴아미드 아데닌 디누클레오티드,nicotinamide adenine dinucleotide,
니코틴아미드 아데닌 디누클레오티드 인산,nicotinamide adenine dinucleotide phosphate,
니코틴,nicotine, ニコチン
황산 니코틴,nicotine sulfate, ニコチン硫酸鹽
니코틴산,nicotinic acid, ニコチン酸
닌히드린,ninhydrin,
닌히드린반응,ninhydrine reaction, ニンヒドリン反應
나이오븀산 염,niobate, ニオブ酸鹽
나이오븀,niobium, ニオブ
나이트라민,nitramine, ニトロアミン
질산 염,nitrate, (1)硝酸鹽  (2)硝酸エステル
질산 이온,nitrate ion, 硝酸イオン
질산질소,nitrate nitrogen, 硝酸態窒素【水質】
니트로화제,nitrating agent, ニトロ化劑
니트로화 (반응),nitration, ニトロ化
니트로화과정,nitration process, 硝酸式【硫酸】
나이트렌,nitrene, ナイトレン
질산,nitric acid, 硝 酸
산화질소,nitric oxide,
질화물,nitride, 窒化物
"질소화물, 소화물",nitrides,
질화처리,nitriding, 窒 化
"질산화 (반응), 질소화 (작용)",nitrification, 硝 化
나이트릴,nitrile, ニトリル
니트릴류,nitriles,
니트릴,nitrille,
나이트릴로트라이아세트산,nitrilotriacetic acid, ニトリロ三酢酸
아질산 염,nitrite, (1)亞硝酸鹽  (2)亞硝酸エステル
아질산표백,nitrite bleaching, 亞硝酸標白
아질산질소,nitrite nitrogen, 亞硝酸態窒素【水質】
니트로화합물,nitro compound, ニトロ化合物
니트로형,nitro form,
니트로기,nitro group, ニトロ基
나이트로아닐린,nitroaniline, ニトロアニリン
나이트로벤젠,nitrobenzene, ニトロベンゼン
"니트로셀룰로오스, 질산 셀룰로오스",nitrocellulose,
질소,nitrogen, 窒 素
질소순환,nitrogen cycle, 窒素サイクル【環境】
이산화 질소,nitrogen dioxide, 二酸化窒素
질소고정,nitrogen fixation, 窒素固定
일산화 질소,nitrogen monoxide, 一酸化窒素
질소 산화물,nitrogen oxides, 窒素酸化物
질소 규칙,nitrogen rule,
질소성 염기,nitrogenous base,
질소비료,nitrogenous fertilizer, 窒素肥料
나이트로글리세린,nitroglycerin, ニトログリセリン
니트로글리세린,nitroglycerine,
니트로분해반응,nitrolysis, ニトロリシス
질소계,nitrometer, (1)窒素計  (2)ニトロメ－タ－【火藥】
니트로늄이온,nitronium ion,
나이트로페놀,nitrophenol, ニトロフェノ－ル
니트로프루시드,nitroprusside,
니트로사민,nitrosamine, ニトロソアミン
니트로소아민,nitrosamines,
니트로소화 (반응),nitrosation,
니트로소 기,nitroso group, ニトロソ基
나이트로소벤젠,nitrosobenzene, ニトロソベンゼン
염화 나이트로실,nitrosyl chloride, 鹽化ニトロシル
나이트로실황산,nitrosylsulfuric acid, ニトロシル硫酸
나이트로톨루엔,nitrotoluene, ニトロトルエン
아질산,nitrous acid, 亞硝酸
니트릴 이온,nitryl ion,
핵자기공명,NMR,
무결합 공명,no bond resonance,
노벨륨,nobelium, ノ－ベリウム
귀-,noble,
영족 기체,noble gas,
"희유기체, 영족기체원소",noble gases,
마디 평면,nodal plane,
마디 표면,nodal surface,
"마디, 매듭, 절",node,
작은 덩어리,nodule, ノジュ－ル
