한글,영어,일어
해집합,solution set,解集合                                                                                                                                                                                                                                                            
해공간,solution space,解空間                                                                                                                                                                                                                                                            
가해군,solvable group,可解群                                                                                                                                                                                                                                                            
원천,source,"始点,源泉                                                                                                                                                                                                                                                          ,始点,源泉                                                                                                                                                                                                                                                          "
공간,space,空間                                                                                                                                                                                                                                                             
공간도형,space figure,
공간형식,space form,
공간기하학,space geometry,
정곡률공간,space of constant curvature,
사원수공간,space of quaternions,4元?空間                                                                                                                                                                                                                                                          
공간벡터,space vector,空間ベクトル                                                                                                                                                                                                                                                         
공간형다양체,space-like manifold,空間型多??                                                                                                                                                                                                                                                         
시공간,space-time,
생성,span,"張る                                                                                                                                                                                                                                                             ,張る                                                                                                                                                                                                                                                             "
생성된,spanned,
희박한,sparse,
희박한 행렬,sparse matrix,疎行列                                                                                                                                                                                                                                                            
특수함수,special functions,特殊??                                                                                                                                                                                                                                                           
특수 일차 변환,special linear transformation,
지정한계,specified limit,指定限界                                                                                                                                                                                                                                                           
시제품,specimen,"試驗品                                                                                                                                                                                                                                                            ,試驗品                                                                                                                                                                                                                                                            "
견본,specimen,"試驗品                                                                                                                                                                                                                                                            ,試驗品                                                                                                                                                                                                                                                            "
특수선형군,spectial linear group,
특수선형변환,spectial linear transformation,
스펙트럼 함수,spectral function,スペクトル??                                                                                                                                                                                                                                                        
스펙트럼 반지름,spectral radius,スペクトル半?                                                                                                                                                                                                                                                        
스펙트럼 분해,spectral resolution,
스펙트럼,spectrum,スペクトル                                                                                                                                                                                                                                                          
빠르기,speed,
속력,speed,
구면각,spherical angle,球面角                                                                                                                                                                                                                                                            
구면점근선,spherical asymptote,球面漸近線                                                                                                                                                                                                                                                          
구면접촉,spherical contact,
구면좌표,spherical coordinates,球面座標 /極座標                                                                                                                                                                                                                                                      
구면곡률,spherical curvature,球面曲率                                                                                                                                                                                                                                                           
구면곡선,spherical curve,球面曲線                                                                                                                                                                                                                                                           
구면도형,spherical figure,
구면틀마당,spherical frame field,
구면함수,spherical function,球??                                                                                                                                                                                                                                                            
구면나사선,spherical helix,球面螺線                                                                                                                                                                                                                                                           
접선의 구면표시선,spherical indicatrix of tangents,接線の球面標形                                                                                                                                                                                                                                                        
구면달꼴,spherical lunar,球面月形                                                                                                                                                                                                                                                           
구면극좌표,spherical polar coordinate,
구면다각형,spherical polygon,球面多角形                                                                                                                                                                                                                                                          
구면반지름,spherical radius,
구면대,spherical segment,"球台/球欠,球台                                                                                                                                                                                                                                                       "
구면나선,spherical spiral,球面らせん                                                                                                                                                                                                                                                          
구면대칭,spherical symmetry,
구면삼각형,spherical triangle,球面3角形/球面三角形                                                                                                                                                                                                                                                    
구면삼각법,spherical trigonometry,球面3角法/球面三角法                                                                                                                                                                                                                                                    
구면띠,spherical zone,球面?/球?                                                                                                                                                                                                                                                         
회전타원체,spheroid,"回轉楕円面                                                                                                                                                                                                                                                          ,回轉楕円面                                                                                                                                                                                                                                                          "
회전타원면,spheroid,"回轉楕円面                                                                                                                                                                                                                                                          ,回轉楕円面                                                                                                                                                                                                                                                          "
회전타원체 조화함수,spheroidal harmonics,回?だ圓?                                                                                                                                                                                                                                                          
스핀,spin,
스피너,spinor,スピノル                                                                                                                                                                                                                                                           
소용돌이선,spiral,"螺旋 /螺線,スパイラル/うずまき線                                                                                                                                                                                                                                             ,螺旋 /螺線,スパイラル/うずまき線                                                                                                                                                                                                                                             "
나선 변환,spiral transformation,
소용돌이 변환,spiral transformation,
스플라인,spline,スプライン                                                                                                                                                                                                                                                          
분할법,split plot experiment,分割法                                                                                                                                                                                                                                                            
가짜 상관,spurious correlation,
제곱,square,"2?/正方形                                                                                                                                                                                                                                                         ,2?/正方形                                                                                                                                                                                                                                                         "
제곱지수,square exponent,
제곱 인수가 없는 정수,square free integer,
제곱함수,square function,
정사각행렬,square matrix,正方行列                                                                                                                                                                                                                                                           
제곱평균,square mean,
제곱수,square number,"平方數                                                                                                                                                                                                                                                            ,平方數                                                                                                                                                                                                                                                            "
정사각수,square number,"平方數                                                                                                                                                                                                                                                            ,平方數                                                                                                                                                                                                                                                            "
제곱근,square root,"2?根,平方根/二?根,平方根                                                                                                                                                                                                                                                "
원과 같은 넓이의 정사각형 작도,squaring the circle,
조임정리,squeeze theorem,
짜내기정리,squeeze theorem,
안정성,stability,安定性                                                                                                                                                                                                                                                            
안정평형,stable equilibrium,安定平衡                                                                                                                                                                                                                                                           
정체점,stagnation point,
기준,standard,"規格                                                                                                                                                                                                                                                             ,規格                                                                                                                                                                                                                                                             "
표준 브라운 운동,standard Brownian motion,
표준편차,standard deviation,標準偏差                                                                                                                                                                                                                                                           
표준오차,standard error,
표준 기하적 실현,standard geometric realization,
표준정규분포,standard normal distribution,標準正規分布                                                                                                                                                                                                                                                         
분류기준,standard of classification,
표준단체,standard simplex,標準??                                                                                                                                                                                                                                                           
표준화,standardization,"正規化 /標準化,規格化                                                                                                                                                                                                                                                   "
별모양근방,star neighborhood,星形近傍                                                                                                                                                                                                                                                           
별모양의유한세분,star-finite refinement,
별모양의 유한세분,star-finite refinement,
별모양 유한세분,star-finite refinement,
별모양유한세분,star-finite refinement,
별모양함수,starlike function,
별모양의,star-shaped,
정상,stationary,"定常                                                                                                                                                                                                                                                             ,定常                                                                                                                                                                                                                                                             "
시불변,stationary,"定常                                                                                                                                                                                                                                                             ,定常                                                                                                                                                                                                                                                             "
정류조건,stationary condition,
정상조건,stationary condition,
정류곡선,stationary curve,"停留曲線                                                                                                                                                                                                                                                           ,停留曲線                                                                                                                                                                                                                                                           "
정상곡선,stationary curve,"停留曲線                                                                                                                                                                                                                                                           ,停留曲線                                                                                                                                                                                                                                                           "
정상함수,stationary function,"停留??                                                                                                                                                                                                                                                           ,停留??                                                                                                                                                                                                                                                           "
정류함수,stationary function,"停留??                                                                                                                                                                                                                                                           ,停留??                                                                                                                                                                                                                                                           "
정류점,stationary point,"停留点                                                                                                                                                                                                                                                            ,停留点                                                                                                                                                                                                                                                            "
정상점,stationary point,"停留点                                                                                                                                                                                                                                                            ,停留点                                                                                                                                                                                                                                                            "
정상과정,stationary process,
시불변과정,stationary process,
정류값,stationary value,"停留値                                                                                                                                                                                                                                                            ,停留値                                                                                                                                                                                                                                                            "
정상값,stationary value,"停留値                                                                                                                                                                                                                                                            ,停留値                                                                                                                                                                                                                                                            "
통계량,statistic,統計量                                                                                                                                                                                                                                                            
통계자료,statistic data,
통계분석,statistical analysis,統計的解析                                                                                                                                                                                                                                                          
통계적 가설,statistical hypothesis,統計的假說/統計的??                                                                                                                                                                                                                                                    
통계적 추론,statistical inference,統計的推論/統計的推測                                                                                                                                                                                                                                                    
통계법칙,statistical law,
통계적 거리공간,statistical metric space,
통계적 확률,statistical probability,
통계계열,statistical series,
통계학,statistics,"統計學/統計?,統計                                                                                                                                                                                                                                                     "
속성통계,statistics of attributes,
변량통계,statistics of variates,
안정 상태,steady state,
급강하,steepest descent,
단계,step,?み                                                                                                                                                                                                                                                             
입체사영,stereographic projection,"立?射影/平射圖法                                                                                                                                                                                                                                                      ,立?射影/平射圖法                                                                                                                                                                                                                                                      "
극사영,stereographic projection,"立?射影/平射圖法                                                                                                                                                                                                                                                      ,立?射影/平射圖法                                                                                                                                                                                                                                                      "
스틸체스 적분,Stieltjes' integral,スチルチェス積分                                                                                                                                                                                                                                                       
확률적 독립,stochastic independence,確率?立                                                                                                                                                                                                                                                           
추측통계학,stochastics,"推計學                                                                                                                                                                                                                                                            ,推計學                                                                                                                                                                                                                                                            "
스토크스의 정리,Stokes' theorem,
평각,straight angle,平角                                                                                                                                                                                                                                                             
무한원직선,straight line at infinity,無限遠直線                                                                                                                                                                                                                                                          
층화,stratification,層化/滑層分割                                                                                                                                                                                                                                                        
층별 표본추출,stratified random sampling,
층별 추출법,stratified sampling,層化抽出 /層化抽出法                                                                                                                                                                                                                                                    
흐름함수,stream function,流れの??                                                                                                                                                                                                                                                          
흐름선,stream line,
응력함수,stress function,?力??                                                                                                                                                                                                                                                           
응력텐서,stress tensor,?力テンソル                                                                                                                                                                                                                                                         
순반순서,strict partial order,
순부분순서,strict partial order,
순볼록,strictly convex,
순증가,strictly increasing,?義に?加する                                                                                                                                                                                                                                                        
순증가함수,strictly increasing function,
순단조,strictly monotone,
순양수,strictly positive number,
강연속성,strong continuity,
강연속,strong continuity,
강수렴,strong convergence,"??束                                                                                                                                                                                                                                                            ,??束                                                                                                                                                                                                                                                            "
강수렴성,strong convergence,"??束                                                                                                                                                                                                                                                            ,??束                                                                                                                                                                                                                                                            "
강한 변형수축,strong deformation retract,??位レトラクト                                                                                                                                                                                                                                                       
큰수의 강법칙,strong law of large number,
큰 수의 강법칙,strong law of large numbers,大數の强法則 /大?の?法則                                                                                                                                                                                                                                                 
강한 위상,strong topology,?位相                                                                                                                                                                                                                                                            
구조안정성,structural stability,構造安定性                                                                                                                                                                                                                                                          
구조,structure,構造                                                                                                                                                                                                                                                             
구조방정식,structure equations,構造方程式                                                                                                                                                                                                                                                          
구조군,structure group,構造群                                                                                                                                                                                                                                                            
학생의 분포,student's distribution,スチュ?デント分布                                                                                                                                                                                                                                                      
학생 t통계량,student's t-statistic,
준가법성,subadditivity,劣加法性                                                                                                                                                                                                                                                           
부분대수,subalgebra,部分多元環                                                                                                                                                                                                                                                          
부분기저,subbase,準基底                                                                                                                                                                                                                                                            
부분복체,subcomplex,部分複?                                                                                                                                                                                                                                                           
부분덮개,subcovering,部分被覆                                                                                                                                                                                                                                                           
부분체,subfield,部分?                                                                                                                                                                                                                                                            
부분군,subgroup,部分群                                                                                                                                                                                                                                                            
열조화함수,subharmonic function,"劣調和??                                                                                                                                                                                                                                                          ,劣調和??                                                                                                                                                                                                                                                          "
버금조화함수,subharmonic function,"劣調和??                                                                                                                                                                                                                                                          ,劣調和??                                                                                                                                                                                                                                                          "
버금불변열,subinvariant series,
열불변 열,subinvariant series,
주관적 확률,subjective probability,
부분격자,sublattice,部分束                                                                                                                                                                                                                                                            
열마팅게일,submartingale,"劣マルチンゲ?ル                                                                                                                                                                                                                                                       ,劣マルチンゲ?ル                                                                                                                                                                                                                                                       "
버금마팅게일,submartingale,"劣マルチンゲ?ル                                                                                                                                                                                                                                                       ,劣マルチンゲ?ル                                                                                                                                                                                                                                                       "
침몰,submersion,沈め?み                                                                                                                                                                                                                                                           
부분정규열,subnormal series,
종속된,subordinate,
종속 필터 기저,subordinate filterbase,
부분환,subring,部分環                                                                                                                                                                                                                                                            
이단추출,subsampling,2段抽出                                                                                                                                                                                                                                                           
부분수열 극한,subsequential limit,
부분집합,subset,部分集合                                                                                                                                                                                                                                                           
부분공간,subspace,部分空間                                                                                                                                                                                                                                                           
대입,substitution,"代入/代入,置換                                                                                                                                                                                                                                                       ,代入/代入,置換                                                                                                                                                                                                                                                       "
치환법,substitution method,置換法                                                                                                                                                                                                                                                            
이단층화,substratification,
부분구조,substructure,
빼다,subtract,"引く,減じる                                                                                                                                                                                                                                                         "
뺄셈,subtraction,"減法 /引き算,減法/ひき算                                                                                                                                                                                                                                                 "
감수,subtrahend,"減?/ひく數                                                                                                                                                                                                                                                         ,減?/ひく數                                                                                                                                                                                                                                                         "
빼는 수,subtrahend,"減?/ひく數                                                                                                                                                                                                                                                         ,減?/ひく數                                                                                                                                                                                                                                                         "
